DI,StructuralIntegrity,ExteriorCharm
292,5,Gleaming
293,5,Gleaming
294,6,Common
295,5,Gleaming
296,8,Common
297,5,Common
298,5,Common
299,5,Gleaming
300,6,Common
301,6,Common
302,8,Common
303,5,Common
304,5,Gleaming
305,6,Common
306,6,Common
307,7,Common
307,7,Common
308,5,Gleaming
309,5,Gleaming
310,5,Common
311,4,Common
312,5,Common
313,6,Common
314,7,Common
315,9,Common
316,6,Gleaming
317,7,Common
318,4,Common
319,4,Common
320,5,Common
321,5,Enchanting
322,6,Common
323,5,Modest
324,5,Common
325,5,Gleaming
326,5,Gleaming
327,7,Common
328,7,Common
329,5,Common
330,7,Common
331,5,Common
332,5,Common
333,6,Common
334,5,Common
335,5,Common
336,5,Common
337,5,Gleaming
338,5,Common
339,5,Gleaming
340,5,Gleaming
341,9,Enchanting
342,5,Gleaming
343,5,Gleaming
344,5,Common
345,5,Common
346,5,Gleaming
347,5,Common
348,7,Common
349,8,Common
350,8,Common
351,5,Gleaming
352,5,Gleaming
353,7,Common
354,5,Gleaming
355,5,Gleaming
356,5,Gleaming
357,5,Gleaming
358,5,Gleaming
359,5,Enchanting
360,7,Common
361,5,Gleaming
362,5,Gleaming
363,5,Gleaming
364,5,Common
365,5,Gleaming
366,6,Common
367,5,Common
368,7,Gleaming
369,6,Gleaming
370,5,Gleaming
371,6,Common
372,6,Common
373,5,Common
374,3,Modest
375,8,Common
376,5,Enchanting
377,5,Gleaming
378,5,Gleaming
379,5,Gleaming
380,5,Common
381,5,Enchanting
382,5,Common
383,5,Gleaming
384,5,Gleaming
385,5,Common
386,5,Gleaming
387,9,Gleaming
388,7,Common
388,7,Common
389,5,Gleaming
390,5,Gleaming
391,5,Common
392,6,Common
393,5,Gleaming
394,7,Common
395,5,Common
396,3,Common
397,6,Common
398,7,Common
399,5,Gleaming
400,6,Modest
401,5,Common
402,5,Common
403,5,Common
404,5,Common
405,6,Common
406,5,Common
407,5,Gleaming
408,6,Common
409,5,Common
410,5,Common
411,5,Common
412,6,Common
413,5,Gleaming
414,3,Modest
415,6,Common
416,7,Common
417,5,Gleaming
418,5,Gleaming
419,9,Gleaming
420,8,Common
421,6,Common
422,4,Common
423,6,Gleaming
424,4,Common
425,8,Gleaming
426,5,Gleaming
427,5,Enchanting
428,5,Gleaming
429,6,Common
430,5,Gleaming
431,6,Common
432,9,Gleaming
433,7,Common
434,5,Common
435,6,Common
436,5,Gleaming
437,5,Common
438,6,Common
439,5,Common
440,5,Common
441,5,Gleaming
442,6,Common
443,8,Common
444,7,Common
445,5,Common
446,5,Gleaming
447,7,Common
448,5,Gleaming
449,6,Common
450,5,Gleaming
451,5,Gleaming
452,5,Enchanting
453,5,Gleaming
454,5,Common
455,6,Common
456,5,Gleaming
457,7,Gleaming
458,7,Common
459,7,Common
460,7,Common
461,5,Common
462,8,Common
463,5,Gleaming
464,7,Common
465,7,Common
466,6,Common
467,6,Common
468,6,Common
469,5,Gleaming
470,5,Gleaming
471,5,Gleaming
472,3,Modest
473,8,Common
474,6,Gleaming
475,5,Enchanting
476,5,Common
477,5,Common
478,7,Common
479,5,Common
480,5,Enchanting
481,5,Gleaming
482,5,Gleaming
483,5,Common
484,4,Modest
485,3,Common
486,5,Common
487,8,Common
488,9,Common
489,5,Common
490,5,Gleaming
491,6,Common
492,5,Common
493,3,Common
494,5,Gleaming
495,5,Common
496,5,Common
497,7,Common
498,9,Gleaming
499,7,Common
500,1,Common
501,8,Gleaming
502,7,Gleaming
503,5,Common
504,5,Gleaming
505,6,Common
505,6,Common
506,9,Common
507,5,Gleaming
508,8,Common
509,5,Gleaming
510,3,Common
511,7,Common
512,6,Common
513,5,Gleaming
514,5,Gleaming
515,5,Gleaming
516,5,Gleaming
517,5,Common
517,5,Common
518,5,Common
519,6,Gleaming
520,7,Common
520,7,Common
521,5,Gleaming
522,5,Common
523,6,Common
524,7,Common
525,6,Gleaming
526,6,Common
527,8,Gleaming
528,6,Common
529,6,Common
530,5,Gleaming
531,7,Common
532,6,Common
533,5,Gleaming
534,7,Common
535,7,Common
536,7,Common
537,6,Common
538,4,Common
539,4,Common
540,6,Common
541,7,Common
542,5,Enchanting
543,6,Common
544,5,Gleaming
545,5,Enchanting
546,5,Gleaming
547,5,Common
548,4,Common
549,6,Common
550,6,Common
551,7,Common
552,4,Common
553,5,Gleaming
554,6,Common
555,5,Common
556,5,Gleaming
557,4,Common
558,5,Common
559,8,Common
560,5,Common
561,5,Common
562,5,Gleaming
563,5,Gleaming
564,5,Common
565,6,Common
566,5,Gleaming
567,5,Common
568,6,Common
569,5,Gleaming
570,7,Common
571,7,Common
572,5,Common
573,5,Gleaming
574,5,Common
575,8,Common
576,6,Common
577,6,Common
578,5,Gleaming
579,7,Common
580,5,Gleaming
581,5,Common
582,8,Common
583,6,Common
584,5,Gleaming
585,5,Gleaming
586,6,Common
587,5,Common
588,5,Common
589,8,Common
590,5,Gleaming
591,5,Common
592,5,Gleaming
592,5,Gleaming
593,6,Common
594,9,Common
595,5,Common
596,5,Gleaming
597,4,Common
598,7,Common
599,6,Common
600,7,Common
601,5,Gleaming
602,5,Common
603,3,Common
604,5,Gleaming
605,9,Common
606,6,Common
607,2,Modest
608,5,Gleaming
609,7,Common
610,5,Gleaming
611,1,Common
612,7,Common
613,8,Gleaming
614,5,Gleaming
615,5,Common
616,5,Gleaming
617,6,Common
618,5,Common
619,4,Common
620,5,Common
621,6,Common
622,5,Gleaming
623,5,Common
624,8,Common
625,5,Gleaming
626,7,Common
627,9,Enchanting
628,7,Common
629,5,Common
630,5,Gleaming
631,7,Common
632,5,Common
633,5,Gleaming
634,6,Gleaming
635,6,Common
636,5,Common
637,5,Gleaming
638,7,Common
639,5,Gleaming
640,5,Gleaming
641,5,Gleaming
642,5,Gleaming
643,7,Common
644,6,Common
645,5,Common
646,5,Gleaming
647,6,Common
648,7,Common
649,8,Common
650,3,Common
651,5,Enchanting
652,6,Common
652,6,Common
653,6,Common
654,5,Enchanting
655,5,Common
656,8,Common
657,5,Gleaming
658,6,Common
659,6,Common
660,5,Common
661,7,Common
662,5,Common
663,5,Gleaming
664,5,Common
665,5,Gleaming
666,5,Gleaming
667,5,Gleaming
668,5,Gleaming
669,7,Gleaming
670,8,Enchanting
671,6,Common
672,5,Common
673,5,Gleaming
674,6,Common
675,5,Common
676,6,Common
677,5,Gleaming
678,6,Common
679,5,Gleaming
680,5,Common
681,5,Common
682,6,Common
683,7,Common
684,5,Gleaming
685,5,Enchanting
686,5,Common
687,5,Common
688,5,Gleaming
689,5,Common
690,5,Gleaming
691,3,Common
692,6,Common
693,5,Gleaming
694,6,Gleaming
695,5,Common
696,7,Common
697,5,Common
698,8,Common
699,6,Common
700,5,Common
701,5,Gleaming
702,7,Common
703,5,Common
704,6,Common
705,6,Common
706,7,Gleaming
707,6,Common
708,5,Gleaming
709,5,Common
710,5,Common
711,5,Common
712,3,Common
713,6,Common
714,7,Gleaming
715,5,Common
716,5,Gleaming
717,5,Common
718,5,Gleaming
719,5,Gleaming
720,8,Common
721,5,Gleaming
722,7,Common
723,5,Gleaming
724,6,Common
725,5,Gleaming
726,7,Common
727,8,Common
728,5,Gleaming
729,3,Common
730,5,Gleaming
731,5,Common
732,7,Common
733,5,Gleaming
734,5,Gleaming
735,5,Gleaming
736,5,Gleaming
737,5,Common
738,5,Common
739,5,Gleaming
740,5,Gleaming
741,7,Common
742,5,Gleaming
743,5,Common
744,6,Common
745,5,Gleaming
746,5,Gleaming
747,5,Gleaming
748,4,Common
749,7,Common
750,5,Common
751,7,Common
752,5,Enchanting
753,7,Gleaming
754,5,Gleaming
755,5,Modest
756,8,Common
757,5,Common
758,5,Gleaming
759,6,Common
760,5,Common
761,5,Common
762,5,Common
763,4,Common
764,5,Common
765,4,Common
766,6,Common
767,5,Common
768,7,Common
769,6,Common
770,6,Common
771,5,Common
772,8,Common
773,7,Common
774,5,Gleaming
775,5,Gleaming
776,5,Gleaming
777,5,Gleaming
778,5,Common
779,5,Common
780,6,Common
781,5,Gleaming
782,8,Common
783,6,Modest
784,5,Gleaming
785,5,Gleaming
786,5,Common
787,5,Gleaming
788,4,Common
789,5,Gleaming
790,5,Gleaming
791,5,Gleaming
792,7,Common
793,4,Common
794,8,Gleaming
795,7,Common
796,6,Common
797,6,Gleaming
798,5,Common
799,5,Enchanting
800,5,Common
801,7,Common
802,6,Common
803,7,Common
804,5,Common
805,5,Enchanting
806,5,Common
807,6,Common
808,6,Common
809,5,Common
810,5,Common
811,6,Common
812,5,Common
813,5,Common
814,2,Common
815,5,Gleaming
816,4,Common
817,8,Common
818,5,Gleaming
819,6,Common
820,6,Common
821,7,Common
822,7,Common
823,6,Common
824,5,Common
825,5,Common
826,5,Common
827,6,Common
828,7,Common
829,5,Gleaming
830,6,Common
831,5,Gleaming
832,5,Common
833,5,Common
834,5,Common
835,5,Common
836,5,Gleaming
837,5,Gleaming
838,5,Common
839,5,Gleaming
840,5,Common
841,8,Common
842,5,Gleaming
843,6,Common
844,5,Gleaming
845,5,Gleaming
846,7,Gleaming
847,9,Common
848,5,Gleaming
849,5,Common
850,5,Common
851,5,Gleaming
852,3,Common
853,7,Gleaming
854,5,Common
855,5,Common
856,3,Modest
857,5,Common
858,5,Gleaming
859,6,Common
860,6,Gleaming
861,5,Common
862,5,Enchanting
863,4,Common
864,5,Common
865,3,Common
866,5,Gleaming
867,5,Common
868,5,Common
869,4,Common
870,5,Common
871,5,Common
872,5,Gleaming
873,5,Common
874,5,Gleaming
875,5,Common
876,6,Common
877,5,Gleaming
878,5,Common
879,5,Gleaming
880,6,Common
881,6,Common
882,5,Gleaming
883,5,Gleaming
884,5,Common
885,5,Common
886,5,Gleaming
887,6,Gleaming
888,5,Gleaming
889,5,Common
890,6,Common
891,5,Gleaming
892,5,Enchanting
893,7,Common
894,5,Gleaming
895,5,Common
896,5,Gleaming
897,5,Common
898,5,Gleaming
899,5,Common
900,5,Common
901,5,Common
902,5,Gleaming
903,7,Common
904,5,Common
905,5,Common
906,5,Common
907,6,Common
908,7,Common
909,6,Common
910,5,Common
911,5,Common
912,5,Gleaming
913,5,Common
914,7,Common
915,6,Common
916,5,Gleaming
917,7,Common
918,3,Common
919,6,Common
920,5,Gleaming
921,5,Common
922,6,Common
923,5,Gleaming
924,5,Gleaming
925,5,Enchanting
926,5,Gleaming
927,5,Common
928,6,Common
929,5,Gleaming
930,1,Common
931,5,Common
932,5,Common
933,7,Common
934,7,Gleaming
935,5,Common
936,6,Common
937,3,Common
938,5,Common
939,5,Gleaming
940,5,Gleaming
941,5,Gleaming
942,5,Common
943,6,Common
944,7,Common
945,5,Common
946,5,Gleaming
947,5,Common
948,5,Enchanting
949,6,Common
950,5,Common
951,5,Common
952,5,Gleaming
953,5,Common
954,5,Gleaming
955,5,Common
956,7,Common
957,8,Common
958,5,Gleaming
959,5,Common
960,5,Common
961,6,Common
962,5,Gleaming
963,5,Gleaming
964,5,Common
965,9,Gleaming
966,5,Enchanting
967,5,Gleaming
968,7,Gleaming
969,5,Gleaming
970,5,Gleaming
971,5,Gleaming
972,8,Common
973,5,Gleaming
974,7,Common
975,5,Common
976,9,Common
977,4,Common
978,8,Gleaming
979,7,Common
980,6,Common
981,8,Common
982,7,Common
982,7,Common
983,5,Gleaming
984,5,Enchanting
985,5,Gleaming
986,8,Gleaming
987,5,Common
988,7,Common
989,6,Common
990,5,Common
991,5,Gleaming
992,6,Common
993,6,Common
994,7,Modest
995,5,Gleaming
996,5,Gleaming
997,6,Common
998,6,Gleaming
999,6,Common
1000,5,Enchanting
1001,6,Common
1002,5,Gleaming
1002,5,Gleaming
1003,4,Common
1004,5,Gleaming
1005,5,Gleaming
1006,5,Common
1007,5,Common
1008,2,Common
1009,5,Common
1010,6,Common
1011,6,Common
1012,5,Common
1013,4,Common
1014,5,Common
1015,5,Gleaming
1016,5,Common
1017,5,Common
1018,5,Gleaming
1019,5,Gleaming
1020,5,Common
1021,5,Common
1022,5,Common
1023,5,Gleaming
1024,7,Gleaming
1025,8,Gleaming
1026,7,Common
1027,5,Common
1028,8,Common
1029,5,Gleaming
1030,5,Gleaming
1031,7,Common
1032,5,Gleaming
1033,7,Common
1034,5,Common
1035,4,Common
1036,5,Enchanting
1037,5,Common
1038,5,Common
1039,4,Common
1040,6,Common
1041,6,Common
1042,5,Common
1043,5,Common
1044,7,Common
1045,7,Common
1046,6,Common
1047,6,Common
1048,7,Gleaming
1049,6,Common
1050,7,Gleaming
1051,5,Common
1052,8,Common
1053,5,Common
1054,5,Common
1055,4,Common
1056,6,Common
1057,9,Common
1058,5,Gleaming
1059,5,Gleaming
1060,5,Gleaming
1061,8,Common
1062,5,Gleaming
1063,5,Gleaming
1064,6,Common
1065,7,Common
1066,7,Common
1067,5,Common
1068,5,Common
1069,5,Common
1070,5,Gleaming
1071,5,Common
1072,7,Common
1073,5,Gleaming
1074,5,Gleaming
1075,5,Common
1076,8,Common
1077,4,Common
1078,5,Common
1079,5,Common
1080,5,Gleaming
1081,5,Gleaming
1082,5,Enchanting
1083,8,Common
1084,5,Gleaming
1085,5,Gleaming
1086,5,Gleaming
1087,8,Gleaming
1088,4,Modest
1089,6,Common
1090,6,Enchanting
1091,6,Common
1092,7,Common
1093,5,Enchanting
1094,5,Gleaming
1095,6,Common
1096,5,Enchanting
1097,5,Gleaming
1098,5,Gleaming
1099,5,Gleaming
1100,6,Common
1101,5,Gleaming
1102,5,Gleaming
1103,5,Gleaming
1104,4,Common
1105,5,Common
1106,5,Gleaming
1107,5,Gleaming
1108,6,Common
1109,7,Common
1110,7,Common
1111,5,Gleaming
1112,6,Common
1113,6,Common
1114,5,Enchanting
1115,6,Common
1116,5,Gleaming
1117,3,Modest
1118,5,Common
1119,7,Gleaming
1120,5,Common
1121,7,Common
1122,5,Gleaming
1123,5,Gleaming
1124,7,Common
1125,7,Common
1126,5,Gleaming
1127,5,Gleaming
1128,6,Common
1129,5,Gleaming
1130,5,Common
1131,5,Common
1132,5,Common
1133,5,Common
1134,6,Common
1134,6,Common
1135,6,Gleaming
1136,8,Gleaming
1137,5,Common
1138,6,Common
1139,5,Gleaming
1140,6,Common
1141,7,Common
1142,5,Common
1143,5,Common
1144,5,Gleaming
1145,6,Gleaming
1146,8,Common
1147,6,Common
1148,5,Gleaming
1149,8,Common
1150,5,Gleaming
1151,6,Common
1152,6,Common
1153,7,Common
1154,5,Common
1155,8,Gleaming
1156,5,Gleaming
1157,5,Common
1158,6,Common
1159,7,Common
1160,5,Common
1161,5,Enchanting
1162,6,Common
1163,6,Common
1164,5,Gleaming
1165,4,Common
1166,6,Common
1167,7,Common
1168,5,Common
1169,7,Common
1170,6,Common
1171,5,Gleaming
1172,5,Common
1173,5,Enchanting
1174,5,Common
1175,5,Common
1176,7,Common
1177,5,Common
1178,4,Common
1179,5,Gleaming
1180,5,Common
1181,5,Gleaming
1182,6,Common
1183,6,Common
1184,5,Gleaming
1185,5,Gleaming
1186,5,Common
1187,5,Common
1188,7,Common
1189,7,Common
1190,5,Common
1191,5,Gleaming
1192,6,Common
1193,5,Enchanting
1194,6,Common
1195,2,Common
1196,5,Gleaming
1197,7,Common
1198,5,Common
1199,5,Common
1200,6,Gleaming
1201,5,Gleaming
1202,5,Gleaming
1203,5,Enchanting
1204,6,Common
1205,8,Common
1206,7,Common
1207,9,Common
1208,5,Gleaming
1209,5,Common
1210,5,Gleaming
1211,6,Common
1212,6,Common
1213,5,Gleaming
1214,6,Common
1215,5,Modest
1216,5,Gleaming
1217,5,Gleaming
1218,6,Gleaming
1219,5,Gleaming
1220,6,Common
1221,7,Common
1222,4,Modest
1223,5,Common
1224,5,Gleaming
1225,5,Common
1226,5,Gleaming
1227,4,Common
1228,7,Common
1229,6,Common
1230,5,Common
1231,5,Common
1232,5,Common
1233,5,Gleaming
1234,6,Common
1235,6,Common
1236,5,Gleaming
1237,7,Common
1238,5,Common
1239,5,Gleaming
1240,5,Common
1241,8,Common
1242,5,Common
1243,5,Common
1244,5,Common
1245,5,Common
1246,7,Common
1247,5,Gleaming
1248,6,Common
1249,5,Gleaming
1250,5,Enchanting
1251,5,Common
1252,8,Common
1253,5,Common
1254,8,Common
1255,4,Common
1256,5,Common
1257,5,Enchanting
1258,7,Common
1259,5,Common
1260,6,Common
1261,5,Common
1262,6,Gleaming
1263,5,Common
1264,6,Gleaming
1265,6,Common
1266,6,Common
1267,5,Enchanting
1268,5,Gleaming
1269,5,Gleaming
1270,5,Common
1271,6,Gleaming
1272,7,Common
1273,5,Common
1274,7,Common
1275,6,Common
1276,5,Gleaming
1277,5,Common
1278,5,Common
1279,5,Common
1280,5,Gleaming
1281,5,Common
1282,8,Common
1283,5,Gleaming
1284,8,Common
1285,8,Common
1286,5,Gleaming
1287,7,Common
1288,5,Gleaming
1288,5,Gleaming
1289,7,Common
1290,5,Common
1291,5,Gleaming
1292,5,Common
1293,5,Gleaming
1294,9,Gleaming
1295,5,Common
1296,5,Gleaming
1297,5,Common
1298,7,Common
1299,9,Enchanting
1300,4,Common
1301,5,Gleaming
1302,5,Gleaming
1303,7,Common
1304,5,Common
1305,5,Gleaming
1306,5,Common
1307,6,Common
1308,4,Common
1309,5,Enchanting
1310,6,Common
1311,5,Gleaming
1312,6,Common
1313,5,Gleaming
1314,6,Common
1315,5,Enchanting
1316,5,Common
1317,5,Common
1318,5,Common
1319,5,Gleaming
1320,5,Common
1321,5,Common
1322,8,Common
1323,5,Common
1324,6,Common
1325,5,Common
1326,5,Common
1327,5,Common
1328,5,Gleaming
1329,5,Gleaming
1330,5,Gleaming
1331,7,Gleaming
1332,5,Gleaming
1333,5,Gleaming
1334,9,Gleaming
1335,7,Common
1336,4,Common
1337,5,Gleaming
1338,5,Common
1339,8,Gleaming
1340,5,Gleaming
1341,6,Common
1342,7,Gleaming
1343,7,Common
1344,5,Common
1345,8,Common
1346,5,Gleaming
1347,5,Gleaming
1348,7,Common
1349,5,Enchanting
1350,5,Enchanting
1351,7,Common
1352,6,Common
1353,5,Common
1354,6,Common
1355,3,Common
1356,6,Common
1357,5,Gleaming
1358,5,Enchanting
1359,6,Common
1360,6,Common
1361,5,Enchanting
1361,5,Enchanting
1362,7,Common
1363,6,Common
1364,6,Common
1365,5,Common
1366,6,Common
1367,5,Gleaming
1368,7,Common
1369,5,Gleaming
1370,6,Common
1371,5,Gleaming
1372,5,Gleaming
1373,5,Gleaming
1374,5,Gleaming
1375,9,Enchanting
1376,6,Common
1377,6,Common
1378,6,Common
1379,7,Common
1380,6,Common
1381,5,Common
1382,7,Common
1383,5,Gleaming
1384,5,Common
1385,5,Gleaming
1386,5,Gleaming
1387,5,Gleaming
1388,5,Common
1389,7,Gleaming
1390,6,Gleaming
1391,5,Common
1392,5,Common
1393,7,Common
1394,5,Gleaming
1395,5,Enchanting
1396,5,Common
1397,5,Enchanting
1398,6,Common
1399,5,Gleaming
1400,5,Common
1401,5,Gleaming
1402,5,Gleaming
1403,6,Common
1404,4,Common
1405,8,Common
1406,6,Common
1407,6,Common
1408,5,Common
1409,5,Gleaming
1410,5,Common
1411,7,Common
1412,5,Enchanting
1413,5,Common
1414,5,Common
1415,6,Common
1416,5,Enchanting
1417,5,Gleaming
1418,5,Common
1418,5,Common
1419,5,Gleaming
1420,7,Common
1421,7,Common
1422,3,Common
1423,6,Common
1424,5,Gleaming
1425,7,Common
1426,6,Common
1427,5,Common
1428,8,Common
1429,6,Common
1430,5,Gleaming
1431,5,Gleaming
1432,9,Common
1433,5,Gleaming
1434,5,Common
1435,5,Gleaming
1436,7,Common
1437,7,Common
1438,8,Common
1439,6,Common
1440,7,Gleaming
1441,5,Gleaming
1441,5,Gleaming
1442,5,Gleaming
1443,5,Gleaming
1444,6,Common
1445,5,Gleaming
1446,5,Enchanting
1447,5,Common
1448,5,Common
1449,3,Common
1450,5,Gleaming
1451,5,Gleaming
1452,3,Common
1453,5,Gleaming
1454,7,Common
1455,5,Gleaming
1456,5,Gleaming
1457,5,Enchanting
1458,5,Gleaming
1459,6,Common
1460,5,Gleaming
1461,5,Gleaming
1462,6,Common
1463,8,Gleaming
1464,5,Common
1465,5,Gleaming
1466,5,Gleaming
1467,5,Common
1468,7,Common
1469,5,Gleaming
1470,5,Gleaming
1471,5,Gleaming
1472,5,Gleaming
1473,5,Gleaming
1474,9,Common
1475,4,Modest
1476,5,Common
1477,6,Common
1478,6,Common
1479,6,Common
1480,5,Common
1481,5,Gleaming
1482,6,Common
1483,6,Common
1484,4,Common
1485,5,Common
1486,8,Common
1487,5,Gleaming
1488,5,Gleaming
1489,5,Gleaming
1490,5,Gleaming
1491,6,Common
1492,6,Common
1493,5,Gleaming
1494,5,Gleaming
1495,5,Common
1496,5,Gleaming
1497,4,Gleaming
1498,5,Gleaming
1499,6,Common
1500,5,Gleaming
1501,9,Gleaming
1502,6,Common
1503,3,Common
1504,8,Common
1505,8,Common
1506,5,Gleaming
1507,5,Common
1508,6,Common
1509,8,Gleaming
1510,5,Gleaming
1511,5,Gleaming
1512,5,Gleaming
1513,7,Common
1514,5,Common
1515,5,Enchanting
1516,5,Gleaming
1517,4,Common
1518,6,Common
1519,5,Gleaming
1520,5,Gleaming
1521,5,Common
1522,5,Gleaming
1523,6,Common
1524,5,Enchanting
1525,7,Common
1526,8,Common
1527,6,Common
1528,7,Common
1529,8,Gleaming
1530,7,Common
1531,6,Common
1532,6,Common
1533,5,Gleaming
1534,5,Gleaming
1535,8,Common
1536,7,Common
1537,5,Common
1538,5,Common
1539,5,Common
1540,6,Common
1541,5,Gleaming
1542,8,Common
1543,7,Common
1544,6,Common
1545,7,Common
1546,5,Gleaming
1547,6,Common
1548,5,Common
1549,5,Gleaming
1550,5,Common
1551,5,Common
1552,6,Common
1553,5,Gleaming
1554,7,Common
1555,5,Gleaming
1556,6,Common
1557,5,Gleaming
1558,5,Common
1559,5,Gleaming
1560,8,Modest
1561,5,Enchanting
1562,5,Gleaming
1563,7,Gleaming
1564,5,Gleaming
1565,3,Common
1566,5,Common
1567,7,Gleaming
1568,5,Gleaming
1569,5,Enchanting
1570,7,Common
1571,6,Common
1572,5,Gleaming
1573,7,Common
1574,5,Gleaming
1575,5,Common
1576,5,Gleaming
1577,5,Enchanting
1578,7,Common
1579,5,Gleaming
1580,5,Common
1581,6,Common
1582,5,Gleaming
1583,4,Common
1584,5,Common
1585,7,Common
1586,5,Common
1586,5,Common
1587,8,Common
1588,6,Common
1589,7,Gleaming
1590,5,Common
1591,5,Common
1592,5,Gleaming
1593,6,Gleaming
1594,5,Gleaming
1595,5,Common
1596,7,Common
1597,7,Gleaming
1598,5,Common
1599,7,Common
1600,5,Common
1601,5,Common
1602,5,Gleaming
1603,6,Common
1604,6,Common
1605,6,Gleaming
1606,5,Common
1607,5,Common
1608,6,Common
1609,5,Common
1610,6,Common
1611,5,Gleaming
1612,5,Common
1613,7,Common
1614,6,Modest
1615,5,Gleaming
1616,6,Common
1617,5,Common
1618,7,Common
1619,5,Gleaming
1620,5,Common
