DI,Craftsmanship,EraConstructed
188,7,1072
189,5,1350
190,5,1375
191,5,1455
192,5,1588
193,4,1239
194,8,1790
195,4,1197
196,7,1775
197,7,1561
198,6,1164
199,7,1403
200,5,1313
201,9,1714
202,9,1627
203,7,1394
204,7,1019
205,6,1372
206,6,1271
207,4,1293
208,5,1388
209,7,1257
210,5,1118
211,5,1111
212,5,1244
213,7,1590
214,5,1522
215,7,1503
216,5,1239
217,7,1699
218,5,1460
219,8,1670
220,8,1586
221,4,1309
222,7,1570
223,7,1724
224,4,1111
225,9,1695
226,6,1671
227,6,1011
228,6,1191
229,6,1120
230,7,1433
231,5,1366
232,8,1603
233,8,1580
234,5,1264
235,6,1329
236,7,1183
237,6,1799
238,7,1790
239,5,1536
240,5,1239
241,5,1286
242,6,1662
243,7,1293
244,3,1069
245,6,1235
246,6,1188
247,9,1778
248,7,1520
249,7,1546
250,7,1672
251,7,1478
252,5,1271
253,7,1603
254,6,1510
255,4,1099
256,7,1792
257,6,1442
258,6,1332
259,5,1313
260,8,1573
261,5,1774
262,7,1404
263,6,1748
264,5,1333
265,8,1608
266,6,1401
267,7,1693
268,8,1611
269,6,1275
270,7,1663
271,7,1007
272,5,1295
273,5,1478
274,6,1316
275,4,1391
276,6,1670
277,6,1533
278,6,1411
279,7,1437
280,5,1270
281,6,1389
282,8,1355
283,7,1600
284,7,1669
285,8,1546
286,5,1558
287,5,1573
288,6,1040
289,5,1057
290,5,1222
291,6,1073
292,7,1711
293,6,1464
294,7,1012
295,5,1462
296,6,1288
297,6,1195
298,7,1415
299,7,1649
300,4,1147
301,5,1446
302,4,1074
303,6,1442
304,7,1640
305,6,1011
306,6,1514
307,6,1117
307,6,1117
308,6,1547
309,8,1483
310,4,1323
311,5,1236
312,5,1304
313,5,1042
314,5,1576
315,5,1108
316,6,1320
317,6,1131
318,4,1013
319,5,1054
320,5,1300
321,9,1795
322,7,1246
323,5,1131
324,5,1476
325,7,1740
326,7,1485
327,5,1387
328,5,1284
329,7,1442
330,5,1349
331,5,1176
332,5,1477
333,7,1423
334,4,1021
335,7,1499
336,5,1199
337,7,1646
338,6,1739
339,8,1408
340,7,1656
341,8,1400
342,7,1627
343,7,1584
344,5,1113
345,5,1285
346,7,1602
347,5,1419
348,6,1234
349,5,1385
350,5,1116
351,8,1628
352,8,1782
353,6,1014
354,7,1669
355,7,1469
356,8,1782
357,6,1624
358,8,1554
359,9,1621
360,5,1318
361,8,1723
362,7,1419
363,7,1735
364,5,1069
365,8,1666
366,5,1318
367,5,1472
368,8,1420
369,7,1413
370,7,1748
371,6,1369
372,5,1285
373,5,1265
374,3,1134
375,7,1257
376,10,1721
377,7,1613
378,8,1514
379,7,1550
380,5,1311
381,9,1754
382,7,1020
383,8,1618
384,8,1661
385,4,1261
386,7,1617
387,7,1077
388,6,1070
388,6,1070
389,7,1514
390,7,1732
391,5,1269
392,6,1044
393,8,1574
394,5,1357
395,5,1303
396,5,1184
397,6,1097
398,5,1316
399,7,1741
400,4,1192
401,7,1473
402,7,1794
403,5,1296
404,4,1358
405,6,1001
406,5,1033
407,7,1465
408,5,1020
409,5,1781
410,6,1538
411,6,1241
412,5,1224
413,7,1688
414,3,1150
415,6,1367
416,6,1173
417,7,1745
418,8,1458
419,5,1034
420,5,1032
421,6,1211
422,4,1236
423,7,1590
424,5,1006
425,5,1439
426,6,1475
427,8,1662
428,7,1770
429,4,1390
430,8,1714
431,5,1539
432,7,1274
433,6,1356
434,5,1218
435,5,1315
436,6,1407
437,7,1211
438,6,1568
439,5,1212
440,5,1285
441,7,1452
442,7,1008
443,6,1393
444,5,1377
445,5,1568
446,7,1645
447,6,1002
448,8,1518
449,5,1239
450,7,1670
451,8,1542
452,10,1734
453,7,1774
454,6,1575
455,5,1271
456,8,1730
457,4,1179
458,5,1376
459,5,1109
460,6,1158
461,6,1520
462,6,1006
463,7,1749
464,7,1295
465,5,1059
466,6,1285
467,6,1385
468,6,1248
469,8,1570
470,6,1584
471,8,1457
472,1,1077
473,6,1194
474,6,1462
475,9,1624
476,7,1335
477,4,1245
478,5,1571
479,7,1588
480,9,1689
481,8,1489
482,8,1786
483,5,1221
484,4,1305
485,3,1141
486,4,1492
487,6,1217
488,5,1154
489,4,1218
490,8,1795
491,4,1176
492,5,1712
493,4,1233
494,7,1690
495,5,1399
496,5,1003
497,4,1193
498,10,895
499,7,971
500,4,1046
501,6,1424
502,8,1476
503,6,1308
504,6,1586
505,6,1047
505,6,1047
506,5,916
507,7,1739
508,6,1130
509,8,1750
510,5,1372
511,6,1298
512,4,1304
513,8,1791
514,7,1431
515,7,1634
516,5,1695
517,5,1203
517,5,1203
518,6,1586
519,7,1501
520,6,1197
520,6,1197
521,6,1640
522,6,1414
523,4,890
524,6,1327
525,7,1638
526,5,1266
527,8,1522
528,5,1221
529,6,1315
530,7,1734
531,5,1330
532,6,1480
533,6,1744
534,6,1030
535,6,1572
536,5,1366
537,7,1017
538,7,1058
539,4,1027
540,5,1376
541,6,1173
542,10,1671
543,7,1562
544,7,1651
545,10,1619
546,6,1680
547,7,1673
548,4,1043
549,5,1265
550,7,1341
551,5,1317
552,3,1103
553,7,1707
554,5,1308
555,6,1572
556,7,1728
557,4,1325
558,5,1582
559,5,1284
560,5,1703
561,6,1523
562,7,1797
563,7,1779
564,5,1304
565,6,1285
566,7,1567
567,4,1062
568,7,1453
569,7,1658
570,4,1050
571,5,1133
572,7,1564
573,6,1624
574,4,1237
575,6,1366
576,5,1382
577,6,1346
578,6,1766
579,5,1145
580,8,1562
581,6,1423
582,5,1349
583,5,1207
584,6,1607
585,7,1452
586,6,1301
587,4,1393
588,6,1353
589,6,1125
590,7,1660
591,5,1070
592,7,1755
592,7,1755
593,5,1170
594,7,1159
595,5,1376
596,8,1679
597,5,1320
598,5,1473
599,4,1292
600,4,1156
601,8,1795
602,6,1334
603,6,1170
604,7,1740
605,7,1285
606,6,1413
607,3,1103
608,6,1439
609,5,1261
610,7,1549
611,5,1021
612,6,1019
613,4,1009
614,7,1562
615,6,1311
616,6,1650
617,6,1575
618,4,1295
619,6,1215
620,5,1242
621,5,1080
622,7,1676
623,6,1357
624,6,1131
625,6,1793
626,8,1162
627,8,1576
628,6,1086
629,5,1246
630,7,1734
631,5,1075
632,9,1731
633,8,1643
634,4,1116
635,7,1457
636,7,1566
637,7,1768
638,5,1397
639,8,1780
640,10,1468
641,9,1775
642,8,1794
643,6,1020
644,6,1207
645,4,1153
646,6,1773
647,5,1185
648,5,1022
649,7,1169
650,5,1230
651,8,1606
652,6,1495
652,6,1495
653,5,1463
654,7,1726
655,6,1482
656,6,1367
657,7,1624
658,5,1113
659,6,1501
660,7,1349
661,6,1027
662,6,1584
663,8,1544
664,6,1342
665,8,1708
666,7,1602
667,7,1451
668,7,1795
669,7,996
670,6,1408
671,6,1225
672,7,1375
673,7,1648
674,5,1567
675,5,1495
676,6,1080
677,6,1507
678,7,1548
679,8,1667
680,6,1120
681,6,1177
682,6,1598
683,5,1169
684,8,1482
685,9,1613
686,6,1428
687,5,1389
688,7,1629
689,6,1472
690,7,1795
691,3,1112
692,5,1069
693,8,1617
694,8,1343
695,5,1687
696,6,1129
697,6,1516
698,5,1367
699,6,1060
700,5,1379
701,6,1608
702,6,1250
703,7,1788
704,5,1213
705,5,1215
706,6,1441
707,8,1197
708,8,1782
709,5,1217
710,6,1354
711,5,1313
712,4,1390
713,5,1202
714,4,914
715,5,1326
716,8,1691
717,6,1322
718,7,1490
719,6,1634
720,7,1074
721,8,1782
722,6,1384
723,6,1790
724,6,1301
725,8,1678
726,6,1398
727,3,1054
728,8,1536
729,5,1093
730,8,1561
731,6,1639
732,5,1081
733,6,1785
734,8,1522
735,8,1657
736,8,1703
737,6,1447
738,4,1308
739,7,1741
740,5,1377
741,3,1186
742,7,1798
743,4,1395
744,5,1488
745,7,1675
746,8,1740
747,7,1643
748,5,1000
749,6,1363
750,5,1313
751,5,1195
752,9,1784
753,6,1247
754,8,1626
755,2,1012
756,6,1068
757,7,1404
758,6,1693
759,4,1354
760,6,1467
761,6,1313
762,6,1203
763,4,1394
764,5,1541
765,6,1200
766,7,1425
767,6,1572
768,6,1137
769,5,1360
770,5,1500
771,5,1383
772,5,1279
773,6,1173
774,7,1729
775,7,1654
776,7,1752
777,9,1774
778,6,1761
779,6,1560
780,6,1466
781,7,1788
782,5,1170
783,5,1300
784,7,1785
785,9,1660
786,7,1486
787,8,1656
788,4,1312
789,8,1740
790,9,1625
791,8,1769
792,5,1275
793,5,1306
794,6,1510
795,5,1012
796,5,1270
797,6,1140
798,4,1384
799,9,1714
800,6,1354
801,5,1074
802,5,1098
803,7,1530
804,5,1446
805,8,1722
806,5,1314
807,5,1269
808,5,1467
809,6,1477
810,5,1371
811,4,1183
812,7,1170
813,6,1522
814,6,1397
815,8,1625
816,5,1108
817,5,1296
818,8,1546
819,5,1058
820,6,1090
821,6,1084
822,5,1306
823,5,1123
824,5,1419
825,5,1016
826,6,1540
827,5,1264
828,6,1080
829,8,1730
830,6,1325
831,7,1690
832,5,1379
833,4,1092
834,7,1769
835,7,1694
836,7,1531
837,8,1562
838,4,1366
839,9,1599
840,6,1360
841,5,1179
842,5,1671
843,3,1193
844,8,1562
845,7,1732
846,5,1089
847,7,1126
848,6,1618
849,5,1209
850,5,1326
851,7,1767
852,6,1374
853,5,1219
854,6,1317
855,5,1313
856,3,1132
857,7,1571
858,8,1682
859,5,1428
860,7,1746
861,7,1462
862,9,1774
863,4,1093
864,6,1691
865,6,1051
866,8,1647
867,6,1327
868,6,1585
869,5,967
870,5,1048
871,6,1574
872,7,1757
873,5,1206
874,8,1621
875,5,1299
876,6,1275
877,8,1773
878,5,1253
879,7,1660
880,4,1323
881,5,1298
882,7,1567
883,6,1557
884,4,1211
885,7,1470
886,8,1789
887,7,1710
888,8,1745
889,5,1208
890,5,1100
891,9,1716
892,10,1721
893,5,1116
894,7,1777
895,6,1247
896,7,1628
897,5,1284
898,8,1426
899,6,1366
900,6,1206
901,5,1273
902,8,1677
903,6,1295
904,5,1458
905,6,1578
906,5,1441
907,6,1533
908,5,1361
909,5,1387
910,6,1499
911,6,1414
912,7,1736
913,5,1034
914,5,1398
915,7,1236
916,7,1685
917,5,1347
918,4,1551
919,5,1397
920,8,1605
921,5,1132
922,5,1051
923,7,1440
924,8,1772
925,9,1720
926,9,1752
927,5,1019
928,5,1312
929,8,1618
930,3,1118
931,4,1296
932,5,1247
933,7,1514
934,8,1418
935,7,1733
936,5,1296
937,5,1560
938,5,1245
939,6,1470
940,7,1726
941,9,1729
942,6,1592
943,5,1322
944,5,1398
945,8,1478
946,6,1773
947,4,1323
948,9,1619
949,5,1217
950,6,1598
951,5,1031
952,8,1626
953,6,1150
954,7,1681
955,5,1054
956,5,1128
957,5,1287
958,6,1699
959,5,1621
960,5,1151
961,5,1079
962,7,1666
963,7,1775
964,6,1450
965,7,1089
966,9,1750
967,7,1536
968,5,904
969,7,1665
970,8,1780
971,6,1464
972,5,1188
973,8,1702
974,6,1091
975,6,1357
976,8,1084
977,6,959
978,6,1162
979,5,1353
980,6,1106
981,5,1160
982,7,1108
982,7,1108
983,7,1433
984,9,1744
985,6,1652
986,5,1013
987,5,1404
988,5,1392
989,4,1057
990,5,1035
991,7,1668
992,6,1294
993,4,1014
994,4,1189
995,7,1576
996,9,1657
997,6,1396
998,8,1531
999,4,1060
1000,10,1747
1001,6,1369
1002,7,1604
1002,7,1604
1003,5,1272
1004,8,1776
1005,6,1615
1006,6,1527
1007,5,1318
1008,5,1074
1009,6,1316
1010,4,1080
1011,5,1161
1012,5,1221
1013,4,1191
1014,4,1220
1015,7,1715
1016,5,1072
1017,5,1282
1018,8,1412
1019,7,1572
1020,5,1240
1021,4,1048
1022,6,1576
1023,7,1481
1024,6,1491
1025,7,1266
1026,7,1099
1027,6,1404
1028,6,1118
1029,8,1502
1030,7,1761
1031,6,1285
1032,7,1608
1033,7,1578
1034,6,1415
1035,5,1372
1036,9,1759
1037,6,1563
1038,5,1274
1039,5,1375
1040,5,1220
1041,6,1497
1042,5,1244
1043,5,1308
1044,6,1387
1045,5,1060
1046,5,1113
1047,5,1366
1048,5,1378
1049,5,1306
1050,5,1236
1051,4,1215
1052,7,1038
1053,5,1342
1054,7,1449
1055,5,1361
1056,4,1172
1057,7,1395
1058,7,1561
1059,6,1798
1060,8,1415
1061,6,1153
1062,7,1517
1063,8,1733
1064,6,1216
1065,7,1024
1066,5,1174
1067,5,1259
1068,5,1456
1069,5,1336
1070,6,1792
1071,5,1327
1072,5,1253
1073,6,1699
1074,8,1477
1075,4,1236
1076,5,1076
1077,4,1287
1078,4,1287
1079,3,1199
1080,8,1480
1081,8,1782
1082,9,1797
1083,4,1063
1084,8,1441
1085,8,1733
1086,7,1731
1087,8,1552
1088,6,1212
1089,5,1360
1090,10,1411
1091,7,1186
1092,7,1027
1093,10,1675
1094,8,1621
1095,7,1307
1096,10,1696
1097,8,1621
1098,6,1640
1099,7,1631
1100,4,1362
1101,8,1781
1102,9,1749
1103,7,1713
1104,4,1220
1105,6,1542
1106,6,1770
1107,7,1429
1108,6,1292
1109,6,1321
1110,5,1022
1111,7,1413
1112,5,1053
1113,5,1388
1114,8,1798
1115,6,1229
1116,8,1797
1117,4,1202
1118,5,1305
1119,7,1492
1120,5,1445
1121,5,1364
1122,7,1637
1123,8,1675
1124,5,1505
1125,5,1332
1126,7,1688
1127,7,1660
1128,4,1137
1129,7,1599
1130,5,1088
1131,5,1198
1132,6,1246
1133,6,1722
1134,5,1313
1134,5,1313
1135,7,1132
1136,5,1389
1137,5,1519
1138,3,1149
1139,9,1621
1140,6,1440
1141,4,1214
1142,5,1464
1143,6,1272
1144,8,1749
1145,6,1231
1146,5,1010
1147,5,1177
1148,8,1434
1149,5,1406
1150,7,1753
1151,4,1297
1152,6,1205
1153,5,1261
1154,6,1286
1155,5,1400
1156,8,1446
1157,2,1028
1158,5,1437
1159,6,1162
1160,6,1271
1161,9,1760
1162,7,1549
1163,7,1152
1164,7,1557
1165,5,1173
1166,5,1260
1167,5,1391
1168,5,1312
1169,6,1596
1170,6,1464
1171,7,1686
1172,5,1533
1173,10,1681
1174,5,1754
1175,4,1221
1176,5,1355
1177,6,1434
1178,4,1017
1179,8,1643
1180,6,1400
1181,7,1563
1182,6,1363
1183,5,1108
1184,8,1424
1185,7,1761
1186,6,1476
1187,8,1441
1188,6,1107
1189,7,1563
1190,5,1378
1191,7,1649
1192,5,1204
1193,9,1728
1194,7,1285
1195,5,1076
1196,6,1704
1197,5,1479
1198,6,1356
1199,5,1360
1200,7,1067
1201,8,1741
1202,7,1758
1203,9,1788
1204,4,1371
1205,6,1501
1206,6,1244
1207,5,1109
1208,8,1763
1209,7,1459
1210,8,1693
1211,6,1477
1212,5,1273
1213,7,1628
1214,5,1419
1215,5,1269
1216,7,1672
1217,7,1791
1218,7,1559
1219,10,1429
1220,5,1547
1221,6,1504
1222,5,1199
1223,4,1369
1224,7,1786
1225,5,1478
1226,9,1600
1227,3,1242
1228,5,1007
1229,4,1297
1230,6,1435
1231,7,1402
1232,5,1221
1233,8,1705
1234,4,1294
1235,7,1255
1236,7,1516
1237,4,1189
1238,5,1046
1239,7,1694
1240,6,1482
1241,6,1584
1242,6,1346
1243,7,1553
1244,6,1547
1245,6,1415
1246,6,1239
1247,7,1686
1248,5,1135
1249,7,1720
1250,9,1796
1251,4,1015
1252,4,1316
1253,6,1204
1254,6,1066
1255,3,1142
1256,6,1602
1257,9,1705
1258,6,1363
1259,5,1587
1260,7,1104
1261,5,1296
1262,7,1703
1263,6,1285
1264,7,1498
1265,5,1348
1266,5,1372
1267,10,1769
1268,9,1692
1269,7,1797
1270,5,1221
1271,3,1014
1272,7,1425
1273,6,1341
1274,5,1229
1275,6,1548
1276,9,1543
1277,5,1496
1278,5,1393
1279,4,1084
1280,7,1678
1281,6,1151
1282,5,1358
1283,7,1671
1284,6,1256
1285,6,1157
1286,6,1722
1287,7,1022
1288,7,1632
1288,7,1632
1289,4,982
1290,5,1444
1291,7,1669
1292,5,1374
1293,7,1797
1294,8,1143
1295,6,1468
1296,8,1418
1297,5,1578
1298,5,1292
1299,10,903
1300,4,1221
1301,7,1488
1302,7,1585
1303,5,1240
1304,4,1069
1305,8,1701
1306,5,1270
1307,6,1303
1308,3,1311
1309,10,1483
1310,4,1118
1311,6,1631
1312,6,1329
1313,9,1662
1314,6,1366
1315,9,1659
1316,4,1057
1317,7,1472
1318,6,1459
1319,8,1774
1320,5,1384
1321,5,1465
1322,3,1204
1323,7,1760
1324,6,1057
1325,7,1591
1326,5,1271
1327,6,1415
1328,7,1604
1329,7,1637
1330,6,1610
1331,5,1012
1332,8,1678
1333,8,1542
1334,8,1192
1335,5,1287
1336,2,1063
1337,8,1744
1338,5,1345
1339,5,1470
1340,7,1749
1341,5,1417
1342,5,1142
1343,6,1144
1344,6,1095
1345,6,1271
1346,7,1603
1347,8,1502
1348,7,1179
1349,10,1741
1350,9,1712
1351,5,1098
1352,6,1375
1353,7,1714
1354,7,1216
1355,7,1070
1356,5,950
1357,7,1656
1358,8,1694
1359,5,1386
1360,5,1364
1361,10,1607
1361,10,1607
1362,6,1077
1363,6,1119
1364,5,1215
1365,7,1577
1366,6,1288
1367,6,1487
1368,5,1286
1369,7,1736
1370,6,1013
1371,7,1567
1372,8,1757
1373,8,1791
1374,9,1662
1375,7,1344
1376,6,1278
1377,7,1290
1378,5,1319
1379,5,1170
1380,6,1436
1381,6,1799
1382,5,1052
1383,7,1559
1384,5,1079
1385,8,1619
1386,8,1706
1387,8,1762
1388,6,1493
1389,6,1442
1390,7,1470
1391,6,1274
1392,6,1473
1393,6,1450
1394,7,1763
1395,9,1678
1396,5,1182
1397,10,1666
1398,4,1355
1399,6,1656
1400,6,1608
1401,8,1631
1402,8,1473
1403,6,1277
1404,4,1263
1405,5,1158
1406,6,1022
1407,5,1193
1408,5,1346
1409,8,1529
1410,6,1465
1411,4,1396
1412,10,1689
1413,4,1233
1414,7,1077
1415,4,1336
1416,8,1635
1417,8,1784
1418,6,1596
1418,6,1596
1419,7,1508
1420,5,1287
1421,6,1094
1422,4,1552
1423,5,1207
1424,6,1598
1425,6,1292
1426,5,1222
1427,7,1468
1428,7,887
1429,6,1014
1430,7,1665
1431,7,1713
1432,5,1350
1433,8,1493
1434,3,1241
1435,8,1668
1436,5,1332
1437,6,1172
1438,5,1043
1439,7,1550
1440,8,1586
1441,7,1686
1441,7,1686
1442,8,1555
1443,7,1432
1444,5,1394
1445,8,1649
1446,9,1659
1447,6,1105
1448,5,1351
1449,5,1072
1450,7,1470
1451,8,1446
1452,6,1398
1453,9,1679
1454,5,1503
1455,7,1455
1456,7,1632
1457,9,1601
1458,6,1709
1459,5,1380
1460,7,1769
1461,7,1698
1462,7,1537
1463,5,1046
1464,6,1523
1465,7,1777
1466,8,1750
1467,4,1370
1468,6,1010
1469,8,1720
1470,7,1673
1471,7,1633
1472,7,1703
1473,9,1613
1474,4,1058
1475,7,1141
1476,7,1680
1477,6,1529
1478,6,1098
1479,6,1390
1480,5,1272
1481,7,1741
1482,5,1527
1483,5,1337
1484,4,1102
1485,6,1467
1486,6,1295
1487,7,1601
1488,8,1748
1489,7,1575
1490,7,1440
1491,6,1210
1492,4,1150
1493,8,1602
1494,8,1792
1495,5,1262
1496,7,1700
1497,8,1021
1498,8,1705
1499,5,1120
1500,7,1777
1501,5,1500
1502,6,1016
1503,5,1028
1504,7,888
1505,5,1194
1506,7,1726
1507,6,1743
1508,6,1471
1509,6,1151
1510,7,1537
1511,9,1600
1512,7,1766
1513,6,1287
1514,5,1289
1515,9,1786
1516,7,1676
1517,5,1353
1518,5,1109
1519,7,1480
1520,6,1687
1521,6,1319
1522,8,1771
1523,6,1222
1524,9,1630
1525,5,1139
1526,7,1000
1527,5,1291
1528,5,1196
1529,5,1316
1530,4,1380
1531,5,1173
1532,5,1084
1533,8,1771
1534,7,1757
1535,5,1008
1536,7,1270
1537,5,1510
1538,8,919
1539,5,1375
1540,6,1065
1541,8,1789
1542,4,1103
1543,7,1068
1544,6,1291
1545,6,1132
1546,6,1523
1547,5,1387
1548,5,1394
1549,8,1640
1550,5,1187
1551,6,1364
1552,5,1204
1553,7,1618
1554,5,1159
1555,8,1732
1556,5,1341
1557,6,1669
1558,5,1388
1559,7,1740
1560,5,1124
1561,9,1606
1562,7,1740
1563,5,1169
1564,7,1537
1565,4,1337
1566,6,1293
1567,7,1521
1568,7,1716
1569,10,1689
1570,6,1387
1571,5,1250
1572,8,1434
1573,5,1084
1574,8,1709
1575,5,1255
1576,8,1681
1577,9,1742
1578,4,1342
1579,6,1777
1580,6,1787
1581,5,1163
1582,8,1647
1583,4,1344
1584,4,1136
1585,7,1076
1586,6,1217
1586,6,1217
1587,5,1247
1588,5,1069
1589,5,1314
1590,5,1345
1591,7,1468
1592,7,1609
1593,8,1493
1594,7,1698
1595,6,1481
1596,5,1205
1597,7,1554
1598,7,1454
1599,6,1226
1600,6,1648
1601,7,1767
1602,7,1689
1603,5,1277
1604,6,1491
1605,7,1468
1606,5,1052
1607,5,1395
1608,6,1087
1609,5,1219
1610,7,1546
1611,9,1589
1612,4,1307
1613,4,1246
1614,6,1060
1615,6,1739
1616,5,1323
1617,4,1333
1618,5,1087
1619,9,1609
1620,6,1656
1621,6,1454
1622,5,1471
1623,8,1798
1624,8,1638
1625,7,1608
1626,5,1396
1627,10,1743
1628,5,1055
1629,5,1242
1630,4,1094
1631,6,1490
1632,7,1688
1633,8,1727
1634,7,1751
1635,6,1649
1636,5,1207
1637,6,1190
1638,6,1256
1639,7,1039
1640,6,1241
1641,8,1658
1642,6,1284
1643,5,1360
1644,6,1306
1645,5,1308
1646,6,1512
1647,7,1681
1648,6,1458
1649,6,1436
1650,5,1207
1651,3,1047
1652,8,1729
1653,5,1011
1654,5,1247
1655,6,1411
1656,8,1411
1657,7,1774
1658,5,1355
1659,8,1627
1660,6,1533
1661,5,1149
1662,4,1008
1663,5,1363
1664,7,1016
1665,5,1466
1666,7,1504
1667,8,1732
1668,6,1481
1669,6,1256
1670,8,1732
1671,5,1010
1672,5,1178
1673,4,1308
1674,7,1750
1675,5,1079
1676,5,1379
1677,9,1713
1678,5,1271
1679,8,1402
1680,4,1276
1681,6,1475
1682,5,1077
1683,6,1200
1684,5,1140
1685,5,1530
1686,5,1331
1687,8,1635
1687,8,1635
1688,6,1327
1689,5,1276
1690,5,1588
1691,5,1382
1692,6,1564
1693,5,1251
1694,6,1730
1695,5,1319
1696,5,1226
1697,6,1105
1698,6,1465
1699,4,1385
1700,8,1483
1701,8,1771
1702,6,1365
1703,5,1390
1704,9,1745
1705,8,1712
1706,7,1503
1707,6,1675
1708,5,1221
1709,8,1769
1710,9,1747
1711,5,1302
1712,6,1534
1713,6,1313
1714,5,1282
1715,7,1575
1716,6,1308
1717,5,1351
1718,6,1456
1719,8,1478
1720,4,1023
1721,8,1671
1722,4,1382
1723,7,1165
1724,7,1577
1725,7,1464
1726,3,1268
1727,7,1434
1728,6,1514
1729,6,1228
1730,7,1391
1731,5,1381
1732,4,1021
1733,5,1711
1734,7,1432
1735,5,1293
1736,6,1440
1737,5,951
1738,9,1747
1739,5,1151
1739,5,1151
1740,5,1008
1741,6,1492
1742,6,1041
1743,6,1562
1744,8,1792
1745,8,1559
1746,5,1337
1747,6,1168
1748,9,1618
1749,4,1035
1750,7,1759
1751,5,1171
1752,5,1365
1753,5,1294
1754,6,1242
1755,5,1019
1756,8,1708
1757,8,1726
1758,9,1655
1759,4,1242
1760,7,1680
1761,8,1656
1762,8,1753
1763,9,1523
1764,6,1451
1765,5,1226
1766,7,1794
1767,7,1632
1768,7,1646
1769,7,1770
1770,5,1254
1771,8,1702
1772,5,1478
1773,8,1414
1774,5,1137
1775,5,1090
1776,6,1312
1777,6,1442
1778,5,1247
1779,9,1777
1780,6,1348
1781,6,1367
1782,6,1525
1783,8,1732
1784,8,1551
1785,6,1384
1786,7,1791
1787,6,1316
1788,9,1695
1789,5,1380
1790,5,1313
1791,6,1141
1792,5,1384
1793,5,1397
1794,7,1676
1795,7,1065
1796,6,1445
1797,6,1454
1798,4,1370
1799,7,1485
1800,4,1030
1801,5,1035
1802,2,1043
1803,6,1352
1804,5,1255
1805,8,1769
1806,7,1762
1807,8,1428
1808,8,1400
1809,8,1742
1810,5,1222
1811,5,1300
1812,8,1729
1813,5,1436
1814,6,1213
1815,5,1375
1816,5,1372
1817,6,1302
1818,6,1448
1819,4,1345
1820,6,1693
1821,6,1355
1822,6,1568
1823,7,1477
1824,5,1013
1825,4,1319
1826,8,1726
1827,7,1504
1828,7,1558
1829,5,1236
1830,8,1571
1831,5,922
1832,5,1345
1833,5,1189
1834,8,1672
1835,5,1329
1836,6,1410
1837,6,1345
1838,5,1231
1839,5,1273
1840,9,1686
1841,8,1723
1842,4,1068
1843,5,1200
1844,7,1672
1845,6,1097
1846,5,1425
1847,5,1351
1848,2,1098
1849,6,1342
1850,5,1290
1851,5,1381
1852,5,1145
1853,8,1725
1854,7,1737
